customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn,gender_encoded,Partner_encoded,Dependents_encoded,PhoneService_encoded,PaperlessBilling_encoded,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,charges_mensuelles_fcfa,charges_totales_fcfa,region,forfait,prix_forfait_fcfa,satisfaction_score,segment
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,1,0,0,1,1,True,False,False,False,False,False,False,62220,3021780,Yamoussoukro,Fibre-100Mbps,75000,2,VIP (>36m)
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,0,1,0,0,1,1,True,False,False,False,False,True,False,63300,1611630,Cocody,Fibre-100Mbps,75000,5,Fidele (18-36m)
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,0,0,1,1,1,0,True,False,False,True,True,False,False,67950,4737090,Plateau,Fibre-100Mbps,75000,3,VIP (>36m)
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,0,0,0,0,1,0,False,True,True,False,False,False,True,12390,613770,Abidjan-Nord,Fibre-10Mbps,15000,5,VIP (>36m)
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,0,1,0,1,1,0,True,False,False,True,False,False,False,64020,4429350,Yopougon,Fibre-100Mbps,75000,5,VIP (>36m)
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,0,1,1,1,0,False,False,False,False,True,False,False,33120,317010,Abidjan-Sud,Fibre-25Mbps,25000,2,Actif (6-18m)
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,0,0,0,0,1,1,True,False,False,False,False,True,False,54030,1117740,San-Pedro,Fibre-100Mbps,75000,5,Fidele (18-36m)
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,1,0,0,0,1,False,False,False,False,False,True,False,23790,23790,Cocody,Fibre-25Mbps,25000,3,Nouveau (<6m)
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0,1,1,0,1,0,False,True,True,False,False,False,False,11880,121350,Cocody,Fibre-10Mbps,15000,4,Actif (6-18m)
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,1,0,0,1,0,False,True,False,False,False,False,True,12090,12090,Yopougon,Fibre-10Mbps,15000,2,Nouveau (<6m)
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,0,0,1,0,1,1,False,False,False,True,True,False,False,35940,2103060,Abidjan-Nord,Fibre-25Mbps,25000,4,VIP (>36m)
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,0,1,1,1,1,0,False,False,False,False,True,False,False,35760,1782180,Yopougon,Fibre-25Mbps,25000,4,VIP (>36m)
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,0,0,0,0,1,1,False,False,False,False,False,False,False,33180,918360,Treichville,Fibre-25Mbps,25000,4,Fidele (18-36m)
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,1,1,1,1,1,True,False,False,False,False,True,False,59610,2849490,Cocody,Fibre-100Mbps,75000,2,VIP (>36m)
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,1,1,1,0,0,False,False,False,False,False,True,False,18120,18120,Cocody,Fibre-10Mbps,15000,2,Nouveau (<6m)
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,0,1,1,0,1,1,False,False,False,True,True,False,False,54150,3821670,Marcory,Fibre-100Mbps,75000,4,VIP (>36m)
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,0,0,1,1,1,False,False,False,False,False,False,True,38820,655860,Abidjan-Sud,Fibre-50Mbps,40000,1,Actif (6-18m)
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,0,0,1,0,1,1,True,False,False,True,True,False,False,57810,4060170,Yamoussoukro,Fibre-100Mbps,75000,4,VIP (>36m)
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0,1,1,0,1,1,True,False,False,False,True,False,False,57300,108990,Abidjan-Sud,Fibre-100Mbps,75000,5,Nouveau (<6m)
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,0,0,1,1,1,0,False,False,True,False,False,False,True,39690,1124670,Marcory,Fibre-50Mbps,40000,3,Fidele (18-36m)
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0,1,0,0,1,0,False,True,False,False,False,False,False,12120,12120,Marcory,Fibre-10Mbps,15000,5,Nouveau (<6m)
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0,1,0,0,1,0,False,False,False,False,False,False,False,27150,27150,Yopougon,Fibre-25Mbps,25000,5,Nouveau (<6m)
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,0,0,1,1,1,0,True,False,False,True,False,False,False,59940,4351020,Marcory,Fibre-100Mbps,75000,3,VIP (>36m)
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,1,0,0,1,1,True,False,False,False,False,True,False,41820,190140,Abidjan-Nord,Fibre-50Mbps,40000,3,Nouveau (<6m)
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,0,0,0,0,1,1,True,False,False,False,True,False,False,44880,2128980,Marcory,Fibre-50Mbps,40000,3,VIP (>36m)
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,1,0,0,1,1,True,False,False,False,False,True,False,63810,2129550,Yopougon,Fibre-100Mbps,75000,2,Fidele (18-36m)
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,0,0,0,1,1,True,False,False,False,False,False,False,58710,663240,Plateau,Fibre-100Mbps,75000,2,Actif (6-18m)
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0,1,1,1,1,0,False,False,True,False,False,False,True,29730,285420,San-Pedro,Fibre-25Mbps,25000,4,Actif (6-18m)
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,0,0,1,1,1,1,False,False,False,True,True,False,False,41520,2923410,Yopougon,Fibre-50Mbps,40000,4,VIP (>36m)
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,0,0,1,1,1,0,False,True,True,False,False,False,True,12450,250950,Cocody,Fibre-10Mbps,15000,4,Actif (6-18m)
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,0,0,0,0,1,1,False,False,False,True,True,False,False,47910,2916870,Yopougon,Fibre-50Mbps,40000,3,VIP (>36m)
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,0,0,1,0,1,1,False,False,False,False,False,True,False,45720,588870,Yopougon,Fibre-50Mbps,40000,5,Actif (6-18m)
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,0,0,0,0,1,1,True,False,False,False,False,True,False,50700,2344020,Yopougon,Fibre-50Mbps,40000,5,VIP (>36m)
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,0,1,0,0,1,0,False,False,False,False,False,False,True,29550,58200,Abidjan-Nord,Fibre-25Mbps,25000,4,Nouveau (<6m)
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,0,0,0,1,1,True,False,False,False,False,True,False,48390,86490,Abidjan-Sud,Fibre-50Mbps,40000,1,Nouveau (<6m)
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,0,1,0,0,1,1,False,False,False,True,True,False,False,47850,2530680,Bouake,Fibre-50Mbps,40000,4,VIP (>36m)
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,0,0,1,1,1,1,False,False,False,True,True,False,False,38490,2552460,Cocody,Fibre-50Mbps,40000,4,VIP (>36m)
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,0,0,0,0,1,1,True,False,False,False,False,True,False,54150,2303250,Cocody,Fibre-100Mbps,75000,4,VIP (>36m)
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,0,0,0,1,1,True,False,False,False,True,False,False,59460,855840,Treichville,Fibre-100Mbps,75000,3,Actif (6-18m)
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,0,0,1,0,1,1,False,False,False,False,True,False,False,41700,1051590,Cocody,Fibre-50Mbps,40000,4,Fidele (18-36m)
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,0,1,0,1,1,True,False,False,False,True,False,False,48390,379980,Plateau,Fibre-50Mbps,40000,2,Actif (6-18m)
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,0,0,1,1,1,1,False,False,True,False,True,False,False,44910,2673810,Cocody,Fibre-50Mbps,40000,5,VIP (>36m)
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,1,0,0,1,1,True,False,False,False,False,True,False,57270,1051530,Abidjan-Nord,Fibre-100Mbps,75000,2,Actif (6-18m)
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,0,0,1,1,1,1,True,False,True,False,True,False,False,59790,3786720,Treichville,Fibre-100Mbps,75000,5,VIP (>36m)
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,0,1,1,1,1,1,True,False,True,False,False,True,False,65070,4245810,Marcory,Fibre-100Mbps,75000,3,VIP (>36m)
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,0,0,1,1,1,0,False,True,False,True,True,False,False,14970,536580,Yopougon,Fibre-10Mbps,15000,4,Fidele (18-36m)
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,0,0,0,0,1,1,True,False,False,True,True,False,False,64500,4712220,Abidjan-Nord,Fibre-100Mbps,75000,4,VIP (>36m)
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,0,0,1,0,1,1,True,False,False,False,False,True,False,60300,2824260,Abidjan-Nord,Fibre-100Mbps,75000,4,VIP (>36m)
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,0,1,0,0,1,1,True,False,False,False,False,False,False,53940,3270420,Abidjan-Nord,Fibre-100Mbps,75000,4,VIP (>36m)
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,0,1,1,0,0,0,False,False,False,True,False,False,False,25260,1777200,Abidjan-Nord,Fibre-25Mbps,25000,5,VIP (>36m)
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,0,0,1,1,1,1,False,False,True,False,True,False,False,32640,574260,Cocody,Fibre-25Mbps,25000,4,Actif (6-18m)
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,0,0,0,1,0,True,False,False,False,False,True,False,56640,514350,Treichville,Fibre-100Mbps,75000,3,Actif (6-18m)
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,0,0,0,0,1,1,False,False,False,False,False,True,False,45180,146460,Abidjan-Nord,Fibre-50Mbps,40000,4,Nouveau (<6m)
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,0,1,1,0,1,1,True,False,True,False,False,True,False,47340,2190210,Yopougon,Fibre-50Mbps,40000,4,VIP (>36m)
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,0,0,0,0,1,0,False,False,False,True,False,False,True,47520,1498320,San-Pedro,Fibre-50Mbps,40000,4,Fidele (18-36m)
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,0,0,1,1,1,0,False,True,False,True,False,False,False,12090,558540,Cocody,Fibre-10Mbps,15000,3,VIP (>36m)
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,0,1,0,0,1,1,True,False,False,False,False,False,True,47910,532410,Yopougon,Fibre-50Mbps,40000,5,Actif (6-18m)
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,0,1,0,0,1,0,False,False,False,False,False,False,True,29430,29430,Marcory,Fibre-25Mbps,25000,4,Nouveau (<6m)
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,0,0,1,1,1,1,False,True,True,False,False,True,False,12240,654390,Yopougon,Fibre-10Mbps,15000,5,VIP (>36m)
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,0,1,1,1,1,1,True,False,False,True,False,False,False,66960,4259400,Marcory,Fibre-100Mbps,75000,5,VIP (>36m)
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,0,1,1,1,1,1,False,True,False,True,False,False,False,14550,854760,Marcory,Fibre-10Mbps,15000,3,VIP (>36m)
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0,0,0,1,1,1,False,False,False,False,False,False,False,38700,106440,Yopougon,Fibre-50Mbps,40000,3,Nouveau (<6m)
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,0,0,0,0,1,0,True,False,True,False,False,True,False,66300,3683700,Abidjan-Sud,Fibre-100Mbps,75000,3,VIP (>36m)
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,0,0,0,0,1,0,False,False,True,False,True,False,False,33390,1613310,Cocody,Fibre-25Mbps,25000,4,VIP (>36m)
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,0,0,1,1,1,0,False,False,False,False,False,False,True,32790,289350,Cocody,Fibre-25Mbps,25000,5,Actif (6-18m)
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,0,1,0,0,1,1,False,False,False,False,False,True,False,44850,1266780,Bouake,Fibre-50Mbps,40000,5,Fidele (18-36m)
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,0,0,1,1,1,1,False,True,True,False,True,False,False,15540,729960,Abidjan-Sud,Fibre-10Mbps,15000,5,VIP (>36m)
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,0,0,1,1,1,True,False,False,False,False,True,False,47610,47610,Yopougon,Fibre-50Mbps,40000,1,Nouveau (<6m)
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,0,0,1,1,0,0,False,False,False,False,False,True,False,30330,339210,Bouake,Fibre-25Mbps,25000,5,Actif (6-18m)
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,0,1,0,1,1,True,False,False,False,False,False,False,45090,298140,Abidjan-Sud,Fibre-50Mbps,40000,1,Actif (6-18m)
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,0,0,0,0,1,1,True,False,False,False,False,False,False,62280,2596500,San-Pedro,Fibre-100Mbps,75000,3,VIP (>36m)
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,0,0,1,0,1,1,False,True,False,True,False,False,False,12090,584010,Yopougon,Fibre-10Mbps,15000,4,VIP (>36m)
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,0,1,0,0,1,1,True,False,False,False,True,False,False,59580,551250,Cocody,Fibre-100Mbps,75000,5,Actif (6-18m)
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,0,0,1,0,1,1,False,False,True,False,False,False,False,37290,1329270,Yopougon,Fibre-50Mbps,40000,4,Fidele (18-36m)
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,0,0,1,1,1,0,False,True,False,True,False,False,False,12390,634200,Bouake,Fibre-10Mbps,15000,4,VIP (>36m)
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,0,0,1,1,1,1,False,True,False,True,False,False,True,11970,556260,Bouake,Fibre-10Mbps,15000,3,VIP (>36m)
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,0,1,1,0,0,0,False,False,False,False,False,False,True,20250,605550,Cocody,Fibre-10Mbps,15000,5,Fidele (18-36m)
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,0,1,1,1,1,0,True,False,False,False,False,False,False,49230,1542120,Abidjan-Nord,Fibre-50Mbps,40000,5,Fidele (18-36m)
